name,capital_fund,registered_address,num_employees_updates,established_year_month,category_count,main_category_name,basic_score
株式会社リバティヒル,50000000.0,東京都目黒区自由が丘３丁目１７番１号,"[{""date"":""2023-03-01"",""num"":""31""},{""date"":""2023-04-01"",""num"":""31""},{""date"":""2023-05-01"",""num"":""31""},{""date"":""2023-06-01"",""num"":""31""},{""date"":""2023-07-01"",""num"":""31""},{""date"":""2023-08-01"",""num"":""31""},{""date"":""2023-09-01"",""num"":""31""},{""date"":""2023-10-01"",""num"":""31""},{""date"":""2023-11-01"",""num"":""31""},{""date"":""2023-12-01"",""num"":""32""},{""date"":""2024-01-01"",""num"":""32""},{""date"":""2024-02-01"",""num"":""32""},{""date"":""2024-03-01"",""num"":""32""},{""date"":""2024-04-01"",""num"":""31""}]",1995,1,ジム・フィットネスクラブ業界の会社,170
株式会社エコレイ,,静岡県浜松市浜名区染地台１丁目３０番７号,"[{""date"":""2023-03-01"",""num"":""4""},{""date"":""2023-04-01"",""num"":""4""},{""date"":""2023-05-01"",""num"":""4""},{""date"":""2023-06-01"",""num"":""4""},{""date"":""2023-07-01"",""num"":""4""},{""date"":""2023-08-01"",""num"":""4""},{""date"":""2023-09-01"",""num"":""4""},{""date"":""2023-10-01"",""num"":""4""},{""date"":""2023-11-01"",""num"":""4""},{""date"":""2023-12-01"",""num"":""4""},{""date"":""2024-01-01"",""num"":""4""},{""date"":""2024-02-01"",""num"":""4""},{""date"":""2024-03-01"",""num"":""4""},{""date"":""2024-04-01"",""num"":""4""}]",2004,4,写真業界の会社,173
株式会社ビッグ・エー,,神奈川県横浜市都筑区牛久保町１６９７－８,"[{""date"":""2023-03-01"",""num"":""5""},{""date"":""2023-04-01"",""num"":""5""},{""date"":""2023-05-01"",""num"":""5""},{""date"":""2023-06-01"",""num"":""5""},{""date"":""2023-07-01"",""num"":""5""},{""date"":""2023-08-01"",""num"":""5""},{""date"":""2023-09-01"",""num"":""5""},{""date"":""2023-10-01"",""num"":""5""},{""date"":""2023-11-01"",""num"":""5""},{""date"":""2023-12-01"",""num"":""5""},{""date"":""2024-01-01"",""num"":""5""},{""date"":""2024-02-01"",""num"":""5""},{""date"":""2024-03-01"",""num"":""5""},{""date"":""2024-04-01"",""num"":""5""}]",1989,2,自動車整備業界の会社,210
協和合板工芸株式会社,10000000.0,奈良県天理市嘉幡町６７７番地の１,"[{""date"":""2023-03-01"",""num"":""5""},{""date"":""2023-04-01"",""num"":""5""},{""date"":""2023-05-01"",""num"":""5""},{""date"":""2023-06-01"",""num"":""5""},{""date"":""2023-07-01"",""num"":""5""},{""date"":""2023-08-01"",""num"":""5""},{""date"":""2023-09-01"",""num"":""5""},{""date"":""2023-10-01"",""num"":""5""},{""date"":""2023-11-01"",""num"":""5""},{""date"":""2023-12-01"",""num"":""5""},{""date"":""2024-01-01"",""num"":""5""},{""date"":""2024-02-01"",""num"":""5""},{""date"":""2024-03-01"",""num"":""5""},{""date"":""2024-04-01"",""num"":""5""}]",1964,1,木材系建材製造業界の会社,129
株式会社荒井建設工業,20000000.0,長野県長野市大字稲葉６２７番地１,"[{""date"":""2023-03-01"",""num"":""4""},{""date"":""2023-04-01"",""num"":""4""},{""date"":""2023-05-01"",""num"":""4""},{""date"":""2023-06-01"",""num"":""4""},{""date"":""2023-07-01"",""num"":""4""},{""date"":""2023-08-01"",""num"":""4""},{""date"":""2023-09-01"",""num"":""4""},{""date"":""2023-10-01"",""num"":""4""},{""date"":""2023-11-01"",""num"":""4""},{""date"":""2023-12-01"",""num"":""4""},{""date"":""2024-01-01"",""num"":""4""},{""date"":""2024-02-01"",""num"":""4""},{""date"":""2024-03-01"",""num"":""4""},{""date"":""2024-04-01"",""num"":""4""}]",1929,3,注文型住宅建築業界の会社,198
株式会社ＴＴプランテック姉崎,5000000.0,千葉県市原市姉崎２３２６番地１,"[{""date"":""2023-03-01"",""num"":""53""},{""date"":""2023-05-01"",""num"":""57""},{""date"":""2023-06-01"",""num"":""61""},{""date"":""2023-07-01"",""num"":""58""},{""date"":""2023-08-01"",""num"":""58""},{""date"":""2023-09-01"",""num"":""63""},{""date"":""2023-10-01"",""num"":""64""},{""date"":""2023-11-01"",""num"":""66""},{""date"":""2023-12-01"",""num"":""63""},{""date"":""2024-01-01"",""num"":""66""},{""date"":""2024-02-01"",""num"":""69""},{""date"":""2024-03-01"",""num"":""68""},{""date"":""2024-04-01"",""num"":""67""}]",2012,1,その他人材業界の会社,141
西山電気株式会社,15000000.0,東京都台東区小島２丁目１８番３号,"[{""date"":""2023-03-01"",""num"":""16""},{""date"":""2023-04-01"",""num"":""16""},{""date"":""2023-05-01"",""num"":""16""},{""date"":""2023-06-01"",""num"":""16""},{""date"":""2023-07-01"",""num"":""17""},{""date"":""2023-08-01"",""num"":""17""},{""date"":""2023-09-01"",""num"":""17""},{""date"":""2023-10-01"",""num"":""17""},{""date"":""2023-11-01"",""num"":""17""},{""date"":""2023-12-01"",""num"":""17""},{""date"":""2024-01-01"",""num"":""17""},{""date"":""2024-02-01"",""num"":""17""},{""date"":""2024-03-01"",""num"":""17""},{""date"":""2024-04-01"",""num"":""17""}]",1960,1,電子部品専門商社業界の会社,182
株式会社びわこハウジングセンター,,滋賀県大津市湖城が丘２番１１号,"[{""date"":""2023-03-01"",""num"":""4""},{""date"":""2023-04-01"",""num"":""4""},{""date"":""2023-05-01"",""num"":""4""},{""date"":""2023-06-01"",""num"":""4""},{""date"":""2023-07-01"",""num"":""4""},{""date"":""2023-08-01"",""num"":""5""},{""date"":""2023-09-01"",""num"":""5""},{""date"":""2023-10-01"",""num"":""5""},{""date"":""2023-11-01"",""num"":""4""},{""date"":""2023-12-01"",""num"":""4""},{""date"":""2024-01-01"",""num"":""4""},{""date"":""2024-02-01"",""num"":""4""},{""date"":""2024-03-01"",""num"":""4""},{""date"":""2024-04-01"",""num"":""4""}]",2004,3,戸建売買業界の会社,154
株式会社ＴＯＳＹＳ,450000000.0,長野県長野市若穂綿内字東山１１０８番地５,"[{""date"":""2023-03-01"",""num"":""808""},{""date"":""2023-04-01"",""num"":""812""},{""date"":""2023-05-01"",""num"":""812""},{""date"":""2023-06-01"",""num"":""823""},{""date"":""2023-07-01"",""num"":""823""},{""date"":""2023-08-01"",""num"":""824""},{""date"":""2023-09-01"",""num"":""817""},{""date"":""2023-10-01"",""num"":""813""},{""date"":""2023-11-01"",""num"":""813""},{""date"":""2023-12-01"",""num"":""813""},{""date"":""2024-01-01"",""num"":""811""},{""date"":""2024-02-01"",""num"":""811""},{""date"":""2024-03-01"",""num"":""808""},{""date"":""2024-04-01"",""num"":""810""}]",1960,5,通信設備工事業界の会社,331
有限会社とさき,5000000.0,鳥取県倉吉市大正町１０７９番地,"[{""date"":""2023-03-01"",""num"":""6""},{""date"":""2023-04-01"",""num"":""6""},{""date"":""2023-05-01"",""num"":""6""},{""date"":""2023-06-01"",""num"":""6""},{""date"":""2023-07-01"",""num"":""6""},{""date"":""2023-08-01"",""num"":""6""},{""date"":""2023-09-01"",""num"":""6""},{""date"":""2023-10-01"",""num"":""6""},{""date"":""2023-11-01"",""num"":""6""},{""date"":""2023-12-01"",""num"":""6""},{""date"":""2024-01-01"",""num"":""6""},{""date"":""2024-02-01"",""num"":""6""},{""date"":""2024-03-01"",""num"":""6""},{""date"":""2024-04-01"",""num"":""6""}]",1970,2,ブライダル業界の会社,201
有限会社エアデールテリア,3000000.0,福岡県北九州市八幡西区木屋瀬４丁目１９番３５号,"[{""date"":""2023-03-01"",""num"":""1""},{""date"":""2023-04-01"",""num"":""1""},{""date"":""2023-07-01"",""num"":""1""},{""date"":""2023-08-01"",""num"":""1""},{""date"":""2023-09-01"",""num"":""1""},{""date"":""2023-10-01"",""num"":""1""},{""date"":""2023-11-01"",""num"":""1""},{""date"":""2023-12-01"",""num"":""1""},{""date"":""2024-01-01"",""num"":""1""},{""date"":""2024-02-01"",""num"":""1""},{""date"":""2024-03-01"",""num"":""1""},{""date"":""2024-04-01"",""num"":""1""}]",2004,5,メンズアパレルメーカー業界の会社,174
三和理工有限会社,3000000.0,熊本県熊本市東区御領３丁目１２番１号,"[{""date"":""2023-03-01"",""num"":""9""},{""date"":""2023-05-01"",""num"":""9""},{""date"":""2023-06-01"",""num"":""9""},{""date"":""2023-07-01"",""num"":""10""},{""date"":""2023-08-01"",""num"":""10""},{""date"":""2023-09-01"",""num"":""10""},{""date"":""2023-10-01"",""num"":""10""},{""date"":""2023-11-01"",""num"":""10""},{""date"":""2023-12-01"",""num"":""10""},{""date"":""2024-01-01"",""num"":""10""},{""date"":""2024-02-01"",""num"":""10""},{""date"":""2024-03-01"",""num"":""10""},{""date"":""2024-04-01"",""num"":""10""}]",1975,1,その他機械専門商社業界の会社,142
株式会社ヨツバ,,岩手県大船渡市大船渡町字明神前１番地１９,"[{""date"":""2023-03-01"",""num"":""2""},{""date"":""2023-04-01"",""num"":""2""},{""date"":""2023-05-01"",""num"":""2""},{""date"":""2023-06-01"",""num"":""2""},{""date"":""2023-07-01"",""num"":""2""},{""date"":""2023-08-01"",""num"":""2""},{""date"":""2023-09-01"",""num"":""2""},{""date"":""2023-10-01"",""num"":""2""},{""date"":""2023-11-01"",""num"":""2""},{""date"":""2023-12-01"",""num"":""2""},{""date"":""2024-01-01"",""num"":""2""},{""date"":""2024-02-01"",""num"":""2""},{""date"":""2024-03-01"",""num"":""2""},{""date"":""2024-04-01"",""num"":""2""}]",1961,2,CD等マルチメディア・楽器業界の会社,122
らっく株式会社,3000000.0,北海道旭川市永山二条１６丁目４番２号,"[{""date"":""2023-03-01"",""num"":""20""},{""date"":""2023-04-01"",""num"":""21""},{""date"":""2023-05-01"",""num"":""20""},{""date"":""2023-06-01"",""num"":""20""},{""date"":""2023-07-01"",""num"":""19""},{""date"":""2023-08-01"",""num"":""18""},{""date"":""2023-09-01"",""num"":""18""},{""date"":""2023-11-01"",""num"":""18""},{""date"":""2023-12-01"",""num"":""18""},{""date"":""2024-01-01"",""num"":""20""},{""date"":""2024-02-01"",""num"":""21""},{""date"":""2024-03-01"",""num"":""21""},{""date"":""2024-04-01"",""num"":""21""}]",2008,3,給食・食堂業界の会社,201
有限会社サンロール,3000000.0,埼玉県戸田市中町２丁目１０番１０号,"[{""date"":""2023-03-01"",""num"":""6""},{""date"":""2023-04-01"",""num"":""6""},{""date"":""2023-05-01"",""num"":""5""},{""date"":""2023-06-01"",""num"":""5""},{""date"":""2023-07-01"",""num"":""5""},{""date"":""2023-08-01"",""num"":""5""},{""date"":""2023-09-01"",""num"":""5""},{""date"":""2023-10-01"",""num"":""5""},{""date"":""2023-11-01"",""num"":""5""},{""date"":""2023-12-01"",""num"":""5""},{""date"":""2024-01-01"",""num"":""5""},{""date"":""2024-02-01"",""num"":""5""},{""date"":""2024-03-01"",""num"":""5""},{""date"":""2024-04-01"",""num"":""5""}]",1993,1,樹脂製品(プラスチック製品など)製造業界の会社,230
株式会社大兼文喜,35000000.0,東京都足立区入谷６丁目３番１号,"[{""date"":""2023-03-01"",""num"":""15""},{""date"":""2023-05-01"",""num"":""17""},{""date"":""2023-06-01"",""num"":""17""},{""date"":""2023-07-01"",""num"":""14""},{""date"":""2023-08-01"",""num"":""15""},{""date"":""2023-09-01"",""num"":""15""},{""date"":""2023-10-01"",""num"":""16""},{""date"":""2023-11-01"",""num"":""17""},{""date"":""2023-12-01"",""num"":""16""},{""date"":""2024-01-01"",""num"":""16""},{""date"":""2024-02-01"",""num"":""16""},{""date"":""2024-03-01"",""num"":""15""},{""date"":""2024-04-01"",""num"":""17""}]",2005,1,農産物食品専門商社業界の会社,198
京栄テック株式会社,3000000.0,福岡県嘉麻市牛隈１８７４番地１,"[{""date"":""2023-03-01"",""num"":""4""},{""date"":""2023-04-01"",""num"":""4""},{""date"":""2023-05-01"",""num"":""4""},{""date"":""2023-06-01"",""num"":""4""},{""date"":""2023-07-01"",""num"":""4""},{""date"":""2023-08-01"",""num"":""0""},{""date"":""2023-09-01"",""num"":""0""},{""date"":""2023-10-01"",""num"":""0""},{""date"":""2023-11-01"",""num"":""0""},{""date"":""2023-12-01"",""num"":""0""},{""date"":""2024-01-01"",""num"":""0""},{""date"":""2024-02-01"",""num"":""0""}]",2019,1,産業用電気設備工事業界の会社,207
明和機材株式会社,10000000.0,大阪府大阪市港区福崎２丁目１番６２号,"[{""date"":""2023-03-01"",""num"":""0""}]",1964,1,建設機械製造業界の会社,175
大同紙工業株式会社,10000000.0,大阪府藤井寺市大井４丁目６番３７号,"[{""date"":""2023-03-01"",""num"":""45""},{""date"":""2023-04-01"",""num"":""46""},{""date"":""2023-05-01"",""num"":""46""},{""date"":""2023-06-01"",""num"":""47""},{""date"":""2023-07-01"",""num"":""47""},{""date"":""2023-08-01"",""num"":""47""},{""date"":""2023-09-01"",""num"":""47""},{""date"":""2023-11-01"",""num"":""46""},{""date"":""2023-12-01"",""num"":""46""},{""date"":""2024-01-01"",""num"":""47""},{""date"":""2024-02-01"",""num"":""46""},{""date"":""2024-03-01"",""num"":""47""},{""date"":""2024-04-01"",""num"":""47""}]",1959,2,紙類包装資材製造業界の会社,175
北陸エクステリア株式会社,10000000.0,石川県金沢市神野１丁目７７番地,"[{""date"":""2023-03-01"",""num"":""29""},{""date"":""2023-04-01"",""num"":""29""},{""date"":""2023-05-01"",""num"":""29""},{""date"":""2023-06-01"",""num"":""29""},{""date"":""2023-07-01"",""num"":""32""},{""date"":""2023-08-01"",""num"":""32""},{""date"":""2023-09-01"",""num"":""31""},{""date"":""2023-10-01"",""num"":""31""},{""date"":""2023-11-01"",""num"":""30""},{""date"":""2023-12-01"",""num"":""30""},{""date"":""2024-01-01"",""num"":""30""},{""date"":""2024-02-01"",""num"":""30""},{""date"":""2024-03-01"",""num"":""30""},{""date"":""2024-04-01"",""num"":""29""}]",1988,3,居住用リフォーム業界の会社,189
